, BR, Doomben, 4, 2011-10-05T14:48:00, 1110, 2, 1, 3, 7, 56, ROCK MODE, P SCHMIDT(A), 8, False
, BR, Doomben, 4, 2011-10-05T14:48:00, 1110, 2, 1, 3, 3, 56, SEVEN WONDERS, T BELL(A), 9, False
, BR, Doomben, 4, 2011-10-05T14:48:00, 1110, 2, 1, 3, 8, 56, SILVER COMMAND, C MUNCE, 10, False
, BR, Doomben, 4, 2011-10-05T14:48:00, 1110, 2, 1, 3, 5, 54.5, MILITARY MANOR, D GRIFFIN, 11, False
, BR, Doomben, 4, 2011-10-05T14:48:00, 1110, 2, 1, 3, 6, 54.5, VACALLO, J BYRNE, 12, False
, BR, Doomben, 5, 2011-10-05T15:28:00, 1110, 2, 1, 3, 6, 56, ANGIE'S HEART, D GRIFFIN, 1, False
, BR, Doomben, 5, 2011-10-05T15:28:00, 1110, 2, 1, 3, 11, 56, BORODULINA, J BYRNE, 2, False
, BR, Doomben, 5, 2011-10-05T15:28:00, 1110, 2, 1, 3, 4, 56, CANSHELOVE, D BROWNE, 3, False
, BR, Doomben, 5, 2011-10-05T15:28:00, 1110, 2, 1, 3, 1, 56, COOL RAPIDS, R MCMAHON, 4, True
, BR, Doomben, 5, 2011-10-05T15:28:00, 1110, 2, 1, 3, 8, 56, TIMELY SURPRISE, A BUTLER(A), 5, False
, BR, Doomben, 5, 2011-10-05T15:28:00, 1110, 2, 1, 3, 2, 56, TIYATRO, C MUNCE, 6, False
, BR, Doomben, 5, 2011-10-05T15:28:00, 1110, 2, 1, 3, 3, 54.5, DEVOLANTE, M HELLYER(A), 7, False
, BR, Doomben, 5, 2011-10-05T15:28:00, 1110, 2, 1, 3, 7, 54.5, FAIR SQUARE, R WIGGINS, 9, False
, BR, Doomben, 5, 2011-10-05T15:28:00, 1110, 2, 1, 3, 12, 54.5, GORGEOUS GOLDIE, A MUNDY, 10, False
, BR, Doomben, 5, 2011-10-05T15:28:00, 1110, 2, 1, 3, 15, 54.5, LADY GUEVARA, JASON TAYLOR, 11, False
, BR, Doomben, 5, 2011-10-05T15:28:00, 1110, 2, 1, 3, 5, 54.5, LADY MARY, L CASSIDY, 12, False
, BR, Doomben, 5, 2011-10-05T15:28:00, 1110, 2, 1, 3, 13, 54.5, OVER IN SECONDS, P SCHMIDT(A), 13, False
, BR, Doomben, 5, 2011-10-05T15:28:00, 1110, 2, 1, 3, 9, 56, LUCKY SKATER, T BELL(A), 15, False
, BR, Doomben, 6, 2011-10-05T16:08:00, 1110, 2, 1, 3, 8, 59, MISTER CELESTIAL, P SCHMIDT(A), 1, False
, BR, Doomben, 6, 2011-10-05T16:08:00, 1110, 2, 1, 3, 7, 56, DANEOMITE, L ROLLS(A), 2, False
, BR, Doomben, 6, 2011-10-05T16:08:00, 1110, 2, 1, 3, 1, 55.5, PRIME COGNAC, R WIGGINS, 3, True
, BR, Doomben, 6, 2011-10-05T16:08:00, 1110, 2, 1, 3, 4, 53.5, MARTHA'S VINEYARD, J BYRNE, 4, False
, BR, Doomben, 6, 2011-10-05T16:08:00, 1110, 2, 1, 3, 6, 53, BLIND JUSTICE, J BOWDITCH, 5, False
, BR, Doomben, 6, 2011-10-05T16:08:00, 1110, 2, 1, 3, 3, 53, AKERMAGIC, M HELLYER(A), 6, False
, BR, Doomben, 6, 2011-10-05T16:08:00, 1110, 2, 1, 3, 9, 53, LA CHANCE FINALE, A BUTLER(A), 7, False
, BR, Doomben, 6, 2011-10-05T16:08:00, 1110, 2, 1, 3, 10, 53, BAA BAA JET, C MUNCE, 8, False
, BR, Doomben, 6, 2011-10-05T16:08:00, 1110, 2, 1, 3, 11, 53, BRETONNEUX, B LOOKER(A), 9, False
, BR, Doomben, 6, 2011-10-05T16:08:00, 1110, 2, 1, 3, 2, 53, MASTER FIBBA, MATTHEW PALMER, 10, False
, BR, Doomben, 6, 2011-10-05T16:08:00, 1110, 2, 1, 3, 5, 53, ALL KIWI, L CUMBERLAND, 11, False
, BR, Doomben, 7, 2011-10-05T16:48:00, 1640, 2, 1, 3, 10, 57, PREACHER BOY, P SCHMIDT(A), 1, True
, BR, Doomben, 7, 2011-10-05T16:48:00, 1640, 2, 1, 3, 2, 56, SHADOW BUSTER, D BROWNE, 2, False
, BR, Doomben, 7, 2011-10-05T16:48:00, 1640, 2, 1, 3, 8, 54.5, GOTCHA, J BYRNE, 3, False
, BR, Doomben, 7, 2011-10-05T16:48:00, 1640, 2, 1, 3, 1, 54.5, NEWLAND WARRIOR, J BYRNE, 4, False
, BR, Doomben, 7, 2011-10-05T16:48:00, 1640, 2, 1, 3, 7, 53.5, WAVE DANCING, B LOOKER(A), 5, False
, BR, Doomben, 7, 2011-10-05T16:48:00, 1640, 2, 1, 3, 9, 53.5, HELLUVA HURRY, B WALLACE(A), 6, False
, BR, Doomben, 7, 2011-10-05T16:48:00, 1640, 2, 1, 3, 5, 53.5, WORLD BY NIGHT, L ROLLS(A), 7, False
